name,budget.x,company.x,country.x,director.x,genre.x,gross.x,rating.x,released.x,runtime.x,score.x,star.x,votes.x,writer.x,year.x,YoutubeLikes,YoutubeDislike,Youtube ViewCount,Twitter Sentiment
Equals,16000000,Freedom Media,USA,Drake Doremus,Drama,32095,PG-13,26/05/2016,101,6,Nicholas Hoult,18681,Nathan Parker,2015,3680,123,,1
Eragon,100000000,Fox 2000 Pictures,USA,Stefen Fangmeier,Action,75030163,PG,15/12/2006,104,5.1,Ed Speleers,112350,Peter Buchman,2006,32801,1822,1311963,1
Escape Plan,50000000,Summit Entertainment,USA,Mikael Håfström,Action,25132228,R,18/10/2013,115,6.7,Sylvester Stallone,192466,Miles Chapman,2013,108,5,,1
Escobar,17000000,Chapter 2,France,Andrea Di Stefano,Crime,106869,R,26/06/2015,120,6.6,Benicio Del Toro,16839,Andrea Di Stefano,2014,1523,83,,1
Escritores de la libertad,21000000,Paramount Pictures,Germany,Richard LaGravenese,Biography,36605602,PG-13,05/01/2007,123,7.5,Hilary Swank,56827,Richard LaGravenese,2007,1600,76,167078,0
Esta chica es un desastre,35000000,Universal Pictures,Japan,Judd Apatow,Comedy,110212700,R,17/07/2015,125,6.3,Amy Schumer,110244,Amy Schumer,2015,318,28,,0
Europa Report,0,Wayfare Entertainment,USA,Sebastián Cordero,Drama,125687,PG-13,27/06/2013,97,6.5,Sharlto Copley,58171,Philip Gelatt,2013,4871,350,,1
Evan Almighty,175000000,Universal Pictures,USA,Tom Shadyac,Comedy,100462298,PG,22/06/2007,96,5.4,Steve Carell,121468,Steve Oedekerk,2007,1948,109,781392,1
Even the Rain,0,AXN,Spain,Icíar Bollaín,Drama,558342,UNRATED,05/01/2011,103,7.5,Gael García Bernal,10681,Paul Laverty,2010,164,2,54143,1
Evening,0,Hart-Sharp Entertainment,USA,Lajos Koltai,Drama,12406646,PG-13,29/06/2007,117,6.6,Vanessa Redgrave,12115,Susan Minot,2007,10937,299,1239435,1
Everest,55000000,Working Title Films,UK,Baltasar Kormákur,Action,43482270,PG-13,25/09/2015,121,7.1,Jason Clarke,160640,William Nicholson,2015,45617,1158,,1
Everybody's Fine,21000000,Miramax,USA,Kirk Jones,Adventure,8855646,PG-13,04/12/2009,100,7.2,Robert De Niro,52792,Kirk Jones,2009,352,14,58512,1
Everybody Wants Some!!,10000000,Annapurna Pictures,USA,Richard Linklater,Comedy,3369431,R,07/04/2016,117,7,Blake Jenner,39909,Richard Linklater,2016,7077,831,,2
Everyone's Hero,35000000,Arc Productions,Canada,Colin Brady,Animation,14522427,G,15/09/2006,87,5.8,Jake T. Austin,6650,Robert Kurtz,2006,270,41,142303,1
Everything Must Go,5000000,Temple Hill Entertainment,USA,Dan Rush,Comedy,2711210,R,14/10/2011,97,6.4,Will Ferrell,43290,Dan Rush,2010,58122,1331,1780856,2
Evil Dead,17000000,TriStar Pictures,USA,Fede Alvarez,Fantasy,54239856,R,05/04/2013,91,6.5,Jane Levy,135944,Fede Alvarez,2013,44576,440,,2
Ex Machina,15000000,Universal Pictures International (UPI),UK,Alex Garland,Drama,25442958,R,24/04/2015,108,7.7,Alicia Vikander,355666,Alex Garland,2014,315,11,,1
Exodus: Gods and Kings,140000000,Chernin Entertainment,UK,Ridley Scott,Action,65014513,PG-13,12/12/2014,150,6,Christian Bale,140323,Adam Cooper,2014,26057,3189,,1
Experimenter,0,BB Film Productions,USA,Michael Almereyda,Biography,155075,PG-13,16/10/2015,98,6.6,John Palladino,13263,Michael Almereyda,2015,2549,102,,2
Extract,8000000,Ternion Pictures,USA,Mike Judge,Comedy,10814185,R,04/09/2009,92,6.2,Jason Bateman,39493,Mike Judge,2009,54,6,8260,1
